n_ref,nom,type,date,BAN_city,departement,BAN_postcode,BAN_adress,BAN_adress_full,latitude,longitude
Ref_0001,FEP Médiathèque,,17-nov,Alzonne,11,11170,Rue du Parc,Rue du Parc 11170 Alzonne,43.254495,2.175926
Ref_0002,Le Relai,Association,18-nov,Berriac,11,11000,Berriac,Berriac,43.213065,2.402611
Ref_0003,Maison de services au public POM's de Bouisse,,19-nov,Bouisse,11,11330,11 Avenue de Las Nautas Corbieras,11 Avenue de Las Nautas Corbieras 11330 Bouisse,42.986901,2.45379
Ref_0004,Mediatheque Milcom de Boutenac,Collectivité territoriale,20-nov,Boutenac,11,11200,8 Boulevard de Ronde,8 Boulevard de Ronde 11200 Boutenac,43.147672,2.788775
Ref_0005,France Services - Piège Lauragais Malepere,Collectivité territoriale,21-nov,Bram,11,11150,62 Rue Bonrepos,62 Rue Bonrepos 11150 Bram,43.241583,2.118852
Ref_0006,France Services / MSAP - Carcassone Agglo,Collectivité territoriale,22-nov,Capendu,11,11700,2 Rue des Figuéres,2 Rue des Figuéres 11700 Capendu,43.184142,2.556949
Ref_0007,R'MINE - FABLAB CARACASSONNE AGGLO,Collectivité territoriale,23-nov,Carcassonne,11,11000,20 Rue Claude Chappe,20 Rue Claude Chappe 11000 Carcassonne,43.21177,2.324315
Ref_0008,Régie de quartier,Association,24-nov,Carcassonne,11,11000,46bis Rue Alexandre Guiraud,46bis Rue Alexandre Guiraud 11000 Carcassonne,43.213581,2.366162
Ref_0009,Espace Culturel Multimédia,Collectivité territoriale,25-nov,Carcassonne,11,11000,Carcassonne,Carcassonne,43.20678,2.349411
Ref_0010,acti city - Information Jeunesse,Association,26-nov,Narbonne,11,11100,13 Boulevard Gambetta,13 Boulevard Gambetta 11100 Narbonne,43.182781,3.007413
