NOM DE LA RESSOURCE;DESCRIPTION;LIEN;IDs - FILTRES;IMAGE;AUTEUR.ICES
<<<<<<< HEAD
Répertoire root du projet;Doit amener à la racine du répertoire hebergeant l'instance Katalog - Cliente.;../;logiciel,github;;Konsilion
=======
Lien vers la racine du projet;Doit amener à la racine du répertoire hebergeant l'instance Katalog - Cliente.;#;Installation;;Konsilion
Fichier mkdocs.yml;Modifier le fichier de paramètrage mkdocs.;#;Installation;;Konsilion
Fichier konsilion.json;Modifier le fichier de paramètrage katalog.;#;Installation;;Konsilion
Modifier la page d'accueil;Une petite introduction de qui vous êtes 😉. (language markdown);#;Installation;;Konsilion
Modifier la page d'information;Si l'on souhaite vous rencontrer ou en savoir plus tout simplement :) (language markdown);#;Installation;;Konsilion
Présentation vidéo;;#;Premiers Pas;;Konsilion
Logique générale;;#;Premiers Pas;;Konsilion
Premier cas pratique;;#;Premiers Pas;;Konsilion
Changer le token - Git;;#;Utilisation;;Konsilion
Ajouter ou modifier une nouvelle section;;#;Utilisation;;Konsilion
Guide du 'débogage';;#;Utilisation;;Konsilion
>>>>>>> 6a1463086f31e345ec2b2c73fa791a480b8f90a8
